File: /tmp/hramwd/GBS_Workshop/05_TBT/01_IndividualTBT/../../01_RawSequence/C08L7ACXX_6_fastq.gz
Total reads: 2122354
Accepted reads (with barcode and cut site): 2122354(1.0 of total)
Accepted reads found in TOPM: 1976669(0.9313569 of total)
name	read count	fraction of total	mapped read count	fraction mapped of total
Va99:C08L7ACXX:6:250048001	27975	0.013181118	25927	0.9267918
CML238:C08L7ACXX:6:250047992	26313	0.012398026	24516	0.9317068
W153R:C08L7ACXX:6:250048003	34579	0.016292758	32480	0.9392984
F7:C08L7ACXX:6:250048005	36337	0.017121084	33952	0.93436444
H95:C08L7ACXX:6:250048012	13545	0.0063820644	12656	0.93436694
CML92:C08L7ACXX:6:250047942	14082	0.006635085	12972	0.92117596
CML311:C08L7ACXX:6:250048014	21161	0.009970533	18984	0.8971221
CH701-30:C08L7ACXX:6:250047933	11715	0.0055198143	10993	0.93836963
Va22:C08L7ACXX:6:250048010	25088	0.011820837	23705	0.94487405
Tzi25:C08L7ACXX:6:250047965	15218	0.00717034	14053	0.92344594
NC298:C08L7ACXX:6:250047971	15769	0.0074299574	14534	0.92168176
Ki11:C08L7ACXX:6:250047990	35899	0.016914709	33439	0.9314744
A272:C08L7ACXX:6:250047954	21740	0.010243343	19739	0.9079577
NC356:C08L7ACXX:6:250047939	20476	0.009647778	18966	0.9262551
33-16:C08L7ACXX:6:250047984	31247	0.014722803	28873	0.9240247
CI66:C08L7ACXX:6:250047983	22524	0.010612744	21175	0.9401083
Oh43E:C08L7ACXX:6:250047973	20487	0.009652961	19216	0.9379607
K55:C08L7ACXX:6:250047986	26052	0.012275049	24316	0.93336403
CML277:C08L7ACXX:6:250047966	17727	0.008352518	16120	0.9093473
I137TN:C08L7ACXX:6:250048000	33892	0.01596906	31893	0.9410185
CML287:C08L7ACXX:6:250047941	10806	0.0050915163	9984	0.9239311
CML157Q:C08L7ACXX:6:250048008	25906	0.012206257	24103	0.9304022
CML332:C08L7ACXX:6:250047996	11896	0.005605097	10942	0.919805
CML281:C08L7ACXX:6:250047928	24786	0.011678542	22993	0.92766076
NC300:C08L7ACXX:6:250047982	19141	0.009018759	17688	0.92408967
CML14:C08L7ACXX:6:250047945	34271	0.016147636	31618	0.92258763
Pa875:C08L7ACXX:6:250047995	21842	0.010291403	20554	0.94103104
EMPTY:C08L7ACXX:6:250048016	72	3.3924596E-5	65	0.9027778
WD:C08L7ACXX:6:250047935	10614	0.005001051	9947	0.93715847
Oh40B:C08L7ACXX:6:250047980	19546	0.009209585	18319	0.937225
NC328:C08L7ACXX:6:250047932	7498	0.0035328697	7054	0.9407842
NC230:C08L7ACXX:6:250047946	29108	0.01371496	27356	0.93981034
DE_3:C08L7ACXX:6:250047936	21185	0.009981841	19933	0.9409016
B104:C08L7ACXX:6:250047938	18605	0.00876621	17538	0.94264984
B97:C08L7ACXX:6:250047970	33193	0.01563971	31415	0.9464345
